,Date,Index,Z_Score,threshold,MA,phase
341,1993-05-31,98.78833,-0.8918647146379106,0,-0.9251312701821466,double_dip
342,1993-06-30,98.82406999999999,-0.8803115997224108,0,-0.93034501305839,double_dip
343,1993-07-31,98.89783,-0.5005657266847722,0,-0.8804026599221109,recovery
344,1993-08-31,99.01334,0.07429510239363413,0,-0.7555779287010239,recovery
345,1993-09-30,99.16408,0.6920183969611187,0,-0.551298058693302,recovery
346,1993-10-31,99.34385,1.3957250976300446,0,-0.2552337770812365,recovery
347,1993-11-30,99.53899,1.8463530828343055,0,0.09977906740354543,expansion
348,1993-12-31,99.74162,2.2580523072401983,0,0.4992127432517745,expansion
349,1994-01-31,99.93678,2.5938976044025854,0,0.9349330331318365,expansion
350,1994-02-28,100.1043,2.6963473919810133,0,1.3820154070947646,expansion
351,1994-03-31,100.2476,2.6653273805831774,0,1.7777520455032583,expansion
352,1994-04-30,100.374,2.610400610328706,0,2.094765233995142,expansion
353,1994-05-31,100.4956,2.5809484496417423,0,2.33088149058022,expansion
354,1994-06-30,100.6223,2.557167379488075,0,2.476061775812474,expansion
355,1994-07-31,100.7447,2.538901639846707,0,2.562630345439024,expansion
356,1994-08-31,100.8482,2.4940424800491092,0,2.592129117040138,expansion
357,1994-09-30,100.9005,2.3924160209378376,0,2.5669439191070444,slowdown
358,1994-10-31,100.882,2.2283902135420943,0,2.5084492718021796,slowdown
359,1994-11-30,100.7827,2.0026486962271894,0,2.425614436257681,slowdown
360,1994-12-31,100.6009,1.7042148018346097,0,2.312341210195919,slowdown
361,1995-01-31,100.3578,1.356843736837136,0,2.159328121095343,slowdown
362,1995-02-28,100.1016,1.0071055237368154,0,1.9655703891264356,slowdown
363,1995-03-31,99.86588,0.6831201451518749,0,1.7335977022895817,slowdown
364,1995-04-30,99.68778,0.3144781943211866,0,1.4611521665735911,slowdown
365,1995-05-31,99.58896999999999,0.03198739411680649,0,1.1660985882209622,slowdown
366,1995-06-30,99.56004,-0.018593610522285524,0,0.8852256102129147,slowdown
367,1995-07-31,99.57969,-0.006007770468567113,0,0.6341435518759451,slowdown
368,1995-08-31,99.6111,0.0144971571058441,0,0.4229288462848494,slowdown
369,1995-09-30,99.62269,0.007723430610203463,0,0.2542888080064828,slowdown
370,1995-10-31,99.61504000000001,-0.005211814708872526,0,0.1277491407007718,slowdown
371,1995-11-30,99.59594,-0.032058560807511335,0,0.03835180245584853,slowdown
372,1995-12-31,99.57365,-0.065059605455245,0,-0.009090422516205423,contraction
373,1996-01-31,99.55856999999999,-0.08946561578060087,0,-0.024272048753381344,contraction
374,1996-02-29,99.56512,-0.0824553929685204,0,-0.032254771559160705,contraction
375,1996-03-31,99.59510999999999,-0.037829493270752135,0,-0.036232486909433835,contraction
376,1996-04-30,99.64089,0.015114199873382025,0,-0.03615535656349159,recovery
377,1996-05-31,99.69001999999999,0.04472175358816687,0,-0.03153056619124617,recovery
378,1996-06-30,99.73347,0.08169046136028436,0,-0.020667781682601558,recovery
379,1996-07-31,99.77359,0.11939822819279437,0,-0.0017356830575633447,recovery
380,1996-08-31,99.81557,0.15798156898927565,0,0.026144463748001737,expansion
381,1996-09-30,99.86515,0.22632179204124214,0,0.06561788972573211,expansion
382,1996-10-31,99.91776,0.2661546182413549,0,0.10919414112696653,expansion
383,1996-11-30,99.96862,0.28110289413564754,0,0.1490606895527665,expansion
384,1996-12-31,100.0251,0.35147250737643915,0,0.19110547799064864,expansion
385,1997-01-31,100.0896,0.49354292437667197,0,0.24720812433921177,expansion
386,1997-02-28,100.1686,0.666833012047145,0,0.32035094317506935,expansion
387,1997-03-31,100.2567,0.8604135380773951,0,0.4129778569106444,expansion
388,1997-04-30,100.3497,1.066198171557229,0,0.5265049322316386,expansion
389,1997-05-31,100.4399,1.2692424739714205,0,0.656870017472911,expansion
390,1997-06-30,100.5244,1.4671942868635228,0,0.8069999760506819,expansion
391,1997-07-31,100.5923,1.6418436543789006,0,0.9770925710810885,expansion
392,1997-08-31,100.6295,1.767652644537416,0,1.1541150882262106,expansion
393,1997-09-30,100.6346,1.837760200028362,0,1.3221422476826716,expansion
394,1997-10-31,100.5967,1.8113253576474122,0,1.4652037908827051,expansion
395,1997-11-30,100.5213,1.676640117521284,0,1.5672321133131912,expansion
396,1997-12-31,100.4247,1.4554847397445958,0,1.6158929343366122,expansion
397,1998-01-31,100.3237,1.195480287959032,0,1.6066726610850637,slowdown
398,1998-02-28,100.22399999999999,0.9312315849320284,0,1.539677323343627,slowdown
399,1998-03-31,100.1192,0.5913058522331291,0,1.4083600980754054,slowdown
400,1998-04-30,100.0019,0.15378721905980905,0,1.2066269198907047,slowdown
401,1998-05-31,99.86973,-0.19533556961990117,0,0.9524899486846717,slowdown
402,1998-06-30,99.71889,-0.6035373089454192,0,0.6506321153605679,slowdown
403,1998-07-31,99.55681,-1.0375075210038271,0,0.3113636605449289,slowdown
404,1998-08-31,99.3968,-1.4358817343926156,0,-0.0500571487222225,contraction
